seleccion,elo,forma_pts,forma_dif_gol,gf_prom,gc_prom
India,1306.7364953029185,0.3,-1.0,0.509090909090909,1.5636363636363637
Bonaire,1303.5857649464726,0.6,-1.4,0.8909090909090909,2.418181818181818
Chad,1299.0754091479243,0.3,-1.3,1.0909090909090908,2.0727272727272728
Eritrea,1290.4931130633086,0.1,-1.7,0.38181818181818183,2.2
Afghanistan,1283.7036932526398,0.5,-1.1,0.38181818181818183,1.309090909090909
Dominica,1273.9516011564447,0.7,-1.1,0.7090909090909091,1.6727272727272726
Aruba,1272.5422338984465,1.4,-0.4,1.8181818181818181,1.7454545454545454
Antigua and Barbuda,1266.1414356462658,0.2,-1.9,0.2909090909090909,2.036363636363636
São Tomé and Príncipe,1256.6465151616242,0.5,-1.5,0.6181818181818182,2.4545454545454546
Barbados,1254.3891249604021,0.6,-1.1,1.2363636363636363,2.290909090909091
Mauritius,1249.250311429503,0.6,-0.9,0.509090909090909,1.6363636363636365
Tonga,1244.2648938090285,0.6,-3.3,1.5272727272727273,2.8363636363636364
Northern Mariana Islands,1238.8219980284348,0.8,-3.4,1.4181818181818182,3.4
Turks and Caicos Islands,1237.6967264824102,1.0,-0.9,1.0727272727272728,1.8909090909090909
Myanmar,1230.651079889479,1.4,-0.8,1.7636363636363637,2.690909090909091
Bangladesh,1218.267844485779,1.3,-0.1,1.2727272727272727,1.509090909090909
Gibraltar,1212.3428439182674,0.9,-0.5,2.090909090909091,1.8727272727272728
Nepal,1209.8233285624342,0.9,-0.4,0.6181818181818182,1.3272727272727274
American Samoa,1204.8044702105194,0.1,-6.0,0.6545454545454545,6.054545454545455
Cayman Islands,1193.0579573139073,0.7,-1.5,1.1454545454545455,2.1818181818181817
Bahamas,1186.0802557877405,0.4,-2.7,0.7272727272727273,3.8727272727272726
